LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2036,Wetland,2683.11,2613.5,2741.575
BAU,CanESM2,rcp45,2037,Agriculture,43550.29,43110.4,44004.075
BAU,CanESM2,rcp45,2037,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2037,Developed,29780.42,28908.5,30494.699999999997
BAU,CanESM2,rcp45,2037,Forest,155036.88,154776.22499999998,155294.775
BAU,CanESM2,rcp45,2037,Grassland,44582.05,44092.225,45161.275
BAU,CanESM2,rcp45,2037,Shrubland,110341.02,110125.20000000001,110618.65
BAU,CanESM2,rcp45,2037,SnowIce,28,28,28
BAU,CanESM2,rcp45,2037,Water,18655,18655,18655
BAU,CanESM2,rcp45,2037,Wetland,2683.34,2612.925,2742.625
BAU,CanESM2,rcp45,2038,Agriculture,43505.71,43073.850000000006,43950.45
BAU,CanESM2,rcp45,2038,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2038,Developed,29971.22,29066.35,30696.175
BAU,CanESM2,rcp45,2038,Forest,154995.33,154735.95,155223.25
BAU,CanESM2,rcp45,2038,Grassland,44526.96,44038.075,45169.675
BAU,CanESM2,rcp45,2038,Shrubland,110293.16,110054.65,110556.175
BAU,CanESM2,rcp45,2038,SnowIce,28,28,28
BAU,CanESM2,rcp45,2038,Water,18655,18655,18655
BAU,CanESM2,rcp45,2038,Wetland,2681.62,2610.55,2737.5249999999996
BAU,CanESM2,rcp45,2039,Agriculture,43456.83,43044.775,43967.875
BAU,CanESM2,rcp45,2039,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2039,Developed,30143.08,29199.075,30844.2
BAU,CanESM2,rcp45,2039,Forest,154959.66,154703.47499999998,155179.575
BAU,CanESM2,rcp45,2039,Grassland,44482.27,43947.625,45116.625
BAU,CanESM2,rcp45,2039,Shrubland,110250.5,110013.75,110525.975
BAU,CanESM2,rcp45,2039,SnowIce,28,28,28
BAU,CanESM2,rcp45,2039,Water,18655,18655,18655
BAU,CanESM2,rcp45,2039,Wetland,2681.66,2613.75,2739.05
BAU,CanESM2,rcp45,2040,Agriculture,43412.01,42956.925,43864.55
BAU,CanESM2,rcp45,2040,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2040,Developed,30315.17,29402.725,30991.65
BAU,CanESM2,rcp45,2040,Forest,154923.6,154641.02500000002,155139.875
BAU,CanESM2,rcp45,2040,Grassland,44432.68,43912.75,45011.25
BAU,CanESM2,rcp45,2040,Shrubland,110209.6,109979.175,110482.92499999999
BAU,CanESM2,rcp45,2040,SnowIce,28,28,28
BAU,CanESM2,rcp45,2040,Water,18655,18655,18655
BAU,CanESM2,rcp45,2040,Wetland,2680.94,2613.2250000000004,2740
BAU,CanESM2,rcp45,2041,Agriculture,43366.88,42923.625,43840.7
BAU,CanESM2,rcp45,2041,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2041,Developed,30482.78,29519.1,31181
